2020-09-22 13:43:17 INFO  Waitings:407 - TOTAL TIME that LOCATOR PANEL page was loading: 2.8 seconds.
2020-09-22 13:43:18 INFO  Waitings:407 - TOTAL TIME that GROUP SETTINGS PANEL page was loading: 0.03 seconds.
2020-09-22 13:43:18 INFO  Waitings:407 - TOTAL TIME that 'PAGE: DROPDOWN' page was loading: 0.028 seconds.
2020-09-22 13:43:19 INFO  Waitings:407 - TOTAL TIME that 'RESET TO DEFAULT CSR GROUPS PAGE' menu item page was loading: 0.057 seconds.
2020-09-22 13:43:20 INFO  LandingPage:1635 - SET TO DEFAULT menu item was SUCCESSFULLY clicked on.
2020-09-22 13:43:21 INFO  Waitings:86 - TOTAL TIME that the CSR GROUPS PAGE after clicking on 'SET TO DEFAULT' menu item on PERSONALIZATION dropdown page was loading: 1.148 seconds.
2020-09-22 13:43:23 INFO  LandingPage:2236 - Input 'PAGE:' has the default value of 'CSR Groups' AS EXPECTED.
2020-09-22 13:43:25 INFO  Locator_DocCompare:1469 - All required panels on the GROUP SETTINGS main page are displayed as EXPECTED.
2020-09-22 13:43:25 INFO  Locator_DocCompare:1524 - The ATTRIBUTE SELECTION input has the value of 'CSR Group ID' selected by default (AS EXPECTED).
2020-09-22 13:43:26 INFO  Waitings:434 - TOTAL TIME that the PERSONALIZATION POPUP page was loading: 0.017 seconds.
2020-09-22 13:43:31 INFO  LandingPage:224 - The 'SAVE' button (on 'PERSONALIZATION' popup) was clicked to save Default Settings.
2020-09-22 13:43:33 INFO  Waitings:86 - TOTAL TIME that the DATA COLLATION PAGE after closing PERSONALIZATION popup page was loading: 2.123 seconds.
2020-09-22 13:43:36 INFO  Locator_DocCompare:1086 - The 'SEARCH' button was SUCCESSFULLY clicked on.
2020-09-22 13:43:36 INFO  Waitings:407 - TOTAL TIME that RESULTS LIST TABLE page was loading: 0.16 seconds.
2020-09-22 13:43:37 INFO  Locator_DocCompare:1261 - The row with value of 'CSR - DNT' in column 'CSR GROUP ID' in SEARCH RESULTS table was SUCCESSFULLY found and CLICKED.
2020-09-22 13:43:38 INFO  Waitings:289 - TOTAL TIME that the START CSR ANALYSIS button web-element was loading: 1.103 seconds.
2020-09-22 13:43:39 INFO  CSR_AnalysisResults:1673 - The 'START CSR ANALYSIS' button (on 'CSR GROUP' page) was clicked.
2020-09-22 13:43:39 INFO  Waitings:40 - TOTAL TIME that the RESULTS OF CSR ANALYSIS popup -> RESULTS LIST table web-element was loading: 0.019 seconds.
2020-09-22 13:43:42 INFO  Waitings:86 - TOTAL TIME that the RESULTS OF CSR ANALYSIS popup -> LOG MESSAGES table page was loading: 2.615 seconds.
2020-09-22 13:43:42 INFO  CSR_AnalysisResults:1585 - The 'PERSONALIZATION' button for RESULTS OF CSR ANALYSIS -> RESULTS LIST table was SUCCESSFULLY clicked.
2020-09-22 13:43:42 INFO  Waitings:434 - TOTAL TIME that the PERSONALIZATION POPUP for RESULTS OF CSR ANALYSIS -> RESULTS LIST table page was loading: 0.01 seconds.
2020-09-22 13:43:43 INFO  CSR_AnalysisResults:1489 - The 'Set to Default' button (on 'PERSONALIZATION' popup for RESULTS OF CSR ANALYSIS -> RESULTS LIST table) was detected to be in DISABLED status BY DEFAULT.
2020-09-22 13:43:43 INFO  CSR_AnalysisResults:1497 - The 'Save' button (on 'PERSONALIZATION' popup for RESULTS OF CSR ANALYSIS -> RESULTS LIST table) was SUCCESSFULLY clicked.
2020-09-22 13:43:43 INFO  Waitings:40 - TOTAL TIME that the RESULTS OF CSR ANALYSIS popup -> RESULTS LIST table web-element was loading: 0.017 seconds.
2020-09-22 13:43:44 INFO  Waitings:86 - TOTAL TIME that the RESULTS OF CSR ANALYSIS popup -> LOG MESSAGES table page was loading: 1.07 seconds.
